Source,Response,A1,A2
I01U_Answer,The boy is dancing to the music,1,1
I01U_Answer,The music is making the boy want to dance,1,1
I01U_Answer,A young male is dancing,1,1
I01U_Answer,A boy is moving to music,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The boy is listening to music.,1,1
I01U_Answer,The boy is singing a song.  ,1,1
I01U_Answer,a guy is dancing,1,1
I01U_Answer,a guy is singing ,1,1
I01U_Answer,The young boy is dancing to music.,1,1
I01U_Answer,The music makes the young boy smile.,0,0
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,The music makes the boy dance.,0,0
I01U_Answer,An adolescent is dancing merrily to some music.,1,1
I01U_Answer,The music is stirring up the man's exhilaration to exercise to the rhythm.,1,1
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,Music fills the air and makes the boy happy.,0,0
I01U_Answer,The teen is dancing to music. ,1,1
I01U_Answer,The boy is happy. ,0,0
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,Dancing with a boy ,0,0
I01U_Answer,Stoner,0,0
I01U_Answer,A guy is dancing.,1,1
I01U_Answer,Music is playing,1,1
I01U_Answer,A boy is dancing to music. ,1,1
I01U_Answer,"While music plays, the boy dances. ",0,0
I01U_Answer,This boy dances to music.,0,0
I01U_Answer,The music inspires this boy to dance,0,0
I01U_Answer,The boy is dancing to music. ,1,1
I01U_Answer,Music moves a young man's feet.,0,0
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,"While listening to music, a boy is moving to the beat.",1,1
I01U_Answer,A boy is moving to music.,1,1
I01U_Answer,Music is inspiring a boy to move.,1,1
I01U_Answer,The boy is jamming to some music.,1,1
I01U_Answer,The boy is dancing like no one is watching,1,1
I01U_Answer,A young man in dancing.,1,1
I01U_Answer,The young man dances.,0,0
I01U_Answer,A boy is dancing to music. ,1,1
I01U_Answer,Music is playing and a boy is dancing. ,1,1
I01U_Answer,A boy is dancing to some music.,1,1
I01U_Answer,The music is causing the boy to dance.,1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,The guy is dancing to music.,1,1
I01U_Answer,He is doing a happy dance to the music.,1,1
I01U_Answer,A little boy is dancing to some music he enjoys.,1,1
I01U_Answer,The little boy is dancing to enjoyable music and is having fun. ,1,1
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,The music is making the boy want to dance.,1,1
I01U_Answer,he is dancing,1,1
I01U_Answer,having a great time,0,0
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,A teenager is rocking out.,1,1
I01U_Answer,Young man is dancing to music.,1,1
I01U_Answer,Music is playing and a man is dancing.,1,1
I01U_Answer,A boy is dancing to some music.,1,1
I01U_Answer,The music is causing the boy to dance.,1,1
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,There is music playing and the boy is dancing to it.,1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,A boy is listening and dancing to music.,1,1
I01U_Answer,dancing,1,1
I01U_Answer,he is listening to music,1,1
I01U_Answer,the boy is dancing to the music.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The guy is dancing to music.,1,1
I01U_Answer,Happy boy,0,0
I01U_Answer,A man is dancing to music.,1,1
I01U_Answer,A riling beat is moving a man to dance.,1,1
I01U_Answer,"A boy is dancing, while listening to music.",1,1
I01U_Answer,"Music is playing, while a boy is dancing.",1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,Music is playing and a boy is dancing to it.,1,1
I01U_Answer,There is a boy dancing to music ,1,1
I01U_Answer,A boy is getting lost in some music ,1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,Music is playing and a boy is dancing to it.,1,1
I01U_Answer,A preteen boy is dancing to contemporary music.,1,1
I01U_Answer,A boy in a blu shirt and gray pants is dancing.,1,1
I01U_Answer,A boy is dancing.,1,1
I01U_Answer,A blonde boy is dancing to music.,1,1
I01U_Answer,The boy is dancing to music,1,1
I01U_Answer,The music makes the boy happy and he dances,0,0
I01U_Answer,Boy is dancing to music,1,1
I01U_Answer,Music is being played so boy can dance,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,A boy enjoys music.,0,0
I01U_Answer,This is a man dancing to music.,0,0
I01U_Answer,The sound of music is making the man dance.,1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,It is fun to dance.,0,0
I01U_Answer,A young boy is dancing to music.,1,1
I01U_Answer,A boy is dancing while listening to music.,1,1
I01U_Answer,This guy is singing ,1,1
I01U_Answer,This guy dancing ,1,1
I01U_Answer,The guy is dancing,1,1
I01U_Answer,The guy is happy,0,0
I01U_Answer,A boy is dancing. ,1,1
I01U_Answer,Music is playing. ,1,1
I01U_Answer,A boy is dancing to the music.,1,1
I01U_Answer,Music surrounds the dancing boy.,0,0
I01U_Answer,THE YOUNG MAN IS DANCING TO MUSIC.,1,1
I01U_Answer,THE MUSIC MAKES THE BOY DANCE.,0,0
I01U_Answer,A guy is dancing to his favorite music,1,1
I01U_Answer,A person enjoying listening to music,1,1
I01U_Answer,The boy is dancing,1,1
I01U_Answer,The boy is grooving to the music,1,1
I01U_Answer,A red-headed young man is dancing.,1,1
I01U_Answer,A teenager is dancing with joy.,1,1
I01U_Answer,A kid is dancing to music.,1,1
I01U_Answer,A kid is very happy.,0,0
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,The wonderful rhythms and sounds make the boy dance.,0,0
I01U_Answer,THE BOY IS DANCING TO THE MUSIC.,1,1
I01U_Answer,MUSIC GETS THE BOY DANCING.,0,0
I01U_Answer,This boy loves his music!,0,0
I01U_Answer,This song makes me happy.,0,0
I01U_Answer,The boy listening to music,1,1
I01U_Answer,The music makes the boy dance,0,0
I01U_Answer,The young boy is grooving to the music.,1,1
I01U_Answer,The music is making the boy dance his heart out.,1,1
I01U_Answer,dancing,1,1
I01U_Answer,dancing well,0,0
I01U_Answer,A boy is hip hop dancing to loud music.,1,1
I01U_Answer,"A boy is enjoying loud music, dancing and enjoying life.",1,1
I01U_Answer,The teen is dancing.,1,1
I01U_Answer,dancing,1,1
I01U_Answer,singing  ,1,1
I01U_Answer,HE IS DANCING.,1,1
I01U_Answer,THE BOY IS DANCING. ,1,1
I01U_Answer,A boy is dancing to music,1,1
I01U_Answer,A man is moving to music,1,1
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,Music has taken over this boys body.,0,0
I01U_Answer,A guy is dancing to some music.,1,1
I01U_Answer,The boy is dancing to the music.,1,1
I01U_Answer,The music makes the boy happy and excited.,0,0
I01U_Answer,The boy is dancing to music. ,1,1
I01U_Answer,"The boy's favorite song came on the radio, and he could not help but to dance to it.",0,0
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,The boy is listening to music & dancing.,1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,Dancing to music having fun.,0,0
I01U_Answer,A boy is dancing. ,1,1
I01U_Answer,A boy is dancing to music. ,1,1
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,This boy is having a great time dancing.,1,1
I01U_Answer,A boy is dancing. ,1,1
I01U_Answer,There is music playing. ,1,1
I01U_Answer,a boy is dancing to music,1,1
I01U_Answer,there is music playing and a boy is dancing,1,1
I01U_Answer,boy is dancing,1,1
I01U_Answer,boy is happy,0,0
I01U_Answer,The young man and dancing to the music,1,1
I01U_Answer,The young man having a good time dancing to the song,1,1
I01U_Answer,A boy is dancing. ,1,1
I01U_Answer,A young man is moving to music. ,1,1
I01U_Answer,The boy is dancing ,1,1
I01U_Answer,A boy is happy when dancing,0,0
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,"Andy loves the music, it makes him dance.",0,0
I01U_Answer,Dont know,0,0
I01U_Answer,Dont know,0,0
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The boy is doing a happy dance. ,1,1
I01U_Answer,The man is dancing,1,1
I01U_Answer,The boy is singing and dancing. ,1,1
I01U_Answer,The boy is listening to music and dancing.,1,1
I01U_Answer,The boy is dancing on music.,1,1
I01U_Answer,The boy is dancing with the music alone. ,1,1
I01U_Answer,The boy is dancing with music. ,1,1
I01U_Answer,The boy is dancing and singing.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,he is dancing with the music,1,1
I01U_Answer,The boy is dancing with music,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,The boy is singing,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,A boy is dancing along the music.,1,1
I01U_Answer,The boy is dancing with the music. ,1,1
I01U_Answer,The guy is dancing,1,1
I01U_Answer,The boy is dancing excitedly with loud and crazy music.,1,1
I01U_Answer,The boy is singing a song and dancing.,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,A boy is singing and dancing.,1,1
I01U_Answer,The boy is singing and dancing by himself.,1,1
I01U_Answer,A boy is dancing to music.,1,1
I01U_Answer,the boy is dancing,1,1
I01U_Answer,The boy is singing and dancing at the same time.,1,1
I01U_Answer,The boy is dancing with the music. ,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,the boy is singing,1,1
I01U_Answer,The boy is dancing with the music,1,1
I01U_Answer,The boy is dancing with the music.,1,1
I01U_Answer,The boy is listening to song and dancing at the same time. ,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,A boy listens to music and dancing.,0,0
I01U_Answer,The boy is dancing with the music,1,1
I01U_Answer,The boy is dancing to a music.,1,1
I01U_Answer,He is dancing ,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,He is dancing to the beat. ,1,1
I01U_Answer,The boy is dancing with some music. ,1,1
I01U_Answer,a man is dancing with music,1,1
I01U_Answer,The boy who in blue is dancing.,1,1
I01U_Answer,The man is dancing while listening music. ,1,1
I01U_Answer,He is singing and dancing.,1,1
I01U_Answer,The boy is dancing so happily,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,A boy is dancing and singing.,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,The boy is singing and dancing.,1,1
I01U_Answer,A boy is dancing with music,1,1
I01U_Answer,A boy is dancing.,1,1
I01U_Answer,The boy is dancing with the music. ,1,1
I01U_Answer,A boy is singing and dancing ,1,1
I01U_Answer,the boy's dancing to the music,1,1
I01U_Answer,The boy is dancing and singing at the same time.,1,1
I01U_Answer,"The man is singing and dancing, because he is happy. ",1,1
I01U_Answer,The boy is singing and dancing.,1,1
I01U_Answer,A boy is dancing ,1,1
I01U_Answer,He is singing and dancing. ,1,1
I01U_Answer,A boy is dancing.,1,1
I01U_Answer,The man is dancing with song.,1,1
I01U_Answer,the boring is dancing while listening to music  ,0,0
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The boy is singing while dancing. ,1,1
I01U_Answer,A boy is dancing with pop music.,1,1
I01U_Answer,The boy is dancing with music.,1,1
I01U_Answer,A boy is dancing around with his smile on his face.,1,1
I01U_Answer,The boy is dancing to the music.,1,1
I01U_Answer,The boy is dancing to the music.,1,1
I01U_Answer,He enjoys moving to the music.,0,0
I01U_Answer,He is dancing,1,1
I01U_Answer,He loves music,0,0
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,Music makes the kid happy.,0,0
I01U_Answer,This kid is dancing.,1,1
I01U_Answer,The music is making the boy dance.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The boy is having fun listening to music.,1,1
I01U_Answer,The boy is dancing.,1,1
I01U_Answer,The music made the boy want to dance.,0,0
I01U_Answer,The boy is dancing to music.,1,1
I01U_Answer,Music is playing.,1,1
I01U_Answer,The boy is dancing. ,1,1
I01U_Answer,The guy is dancing to the music. ,1,1
I01U_Core,The boy is dancing to the music,1,1
I01U_Core,A young male is dancing,1,1
I01U_Core,A boy is moving to music,1,1
I01U_Core,The boy is dancing.,1,1
I01U_Core,The boy likes music.,0,0
I01U_Core,The boy is listening to music.,0,0
I01U_Core,The boy is singing a song.  ,0,0
I01U_Core,a guy is dancing,1,1
I01U_Core,a guy is singing ,0,0
I01U_Core,The young boy is dancing to music.,1,1
I01U_Core,The music makes the young boy smile.,0,0
I01U_Core,A boy is dancing to music.,1,1
I01U_Core,The music makes the boy dance.,1,1
I01U_Core,An adolescent is dancing merrily to some music.,1,1
I01U_Core,The music is stirring up the man's exhilaration to exercise to the rhythm.,0,0
I01U_Core,The boy is dancing to music.,1,1
I01U_Core,Music fills the air and makes the boy happy.,0,0
I01U_Core,The teen is dancing to music. ,1,1
I01U_Core,The boy is happy. ,0,0
I01U_Core,The boy is dancing.,1,1
I01U_Core,The boy is being attacked by music notes.,0,0
