Source,Response,A1,A2
I03U_Answer,The lady is receiving a package,1,1
I03U_Answer,The man is handing the lady a package,1,1
I03U_Answer,A delivery person is accepting a package,1,1
I03U_Answer,A woman is accepting a package from a delivery man,1,1
I03U_Answer,The man is delivering a package.,1,1
I03U_Answer,The woman is receiving a package.,1,1
I03U_Answer,a guy is handing a box to a girl ,1,1
I03U_Answer,a girl is holding a box ,1,1
I03U_Answer,The receptionist is receiving a package.,1,1
I03U_Answer,The delivery man is handing package to the receptionist.,1,1
I03U_Answer,The boy gives the package to the girl.,1,1
I03U_Answer,The girl receives the package from the guy.,0,0
I03U_Answer,"The finance is gifting a box to his wife-to-be on their anniversary, for it is a token of his passion. ",1,1
I03U_Answer,The woman is the recipient of ta parcel conveyed by the mailman.,0,0
I03U_Answer,The woman receives a package.,0,0
I03U_Answer,The delivery man has arrived.,0,0
I03U_Answer,The woman is receiving a package.,1,1
I03U_Answer,The man is delivering a package.,1,1
I03U_Answer,A woman received a package from the delivery boy.,0,0
I03U_Answer,The woman is sending a package with delivery pickup services.,1,1
I03U_Answer,A man is delivering a package.,1,1
I03U_Answer,A woman is receiving a delivery.,1,1
I03U_Answer,The receptionist is receiving a package. ,1,1
I03U_Answer,The delivery man gives a package to the receptionist. ,0,0
I03U_Answer,The man is delivering a parcel to the woman.,1,1
I03U_Answer,The man is looking over the head of the woman while delivering the package.,1,1
I03U_Answer,A woman receives a package.,0,0
I03U_Answer,A man delivers a package.,0,0
I03U_Answer,A delivery man is handing a package to a lady.,1,1
I03U_Answer,A seated lady is handing a package to a delivery man who just arrived.,1,1
I03U_Answer,A package is being exchanged between two people.,1,1
I03U_Answer,Two people are exchanging a package.,1,1
I03U_Answer,The delivery man is delivering a package. ,1,1
I03U_Answer,The secretary is accepting a package. ,1,1
I03U_Answer,The man gives the woman a box.,0,0
I03U_Answer,The woman receives a box from the man.,0,0
I03U_Answer,The woman at the desk is receiving a package. ,1,1
I03U_Answer,The delivery man is giving the woman a package.,1,1
I03U_Answer,The man is delivering the package to the woman.,1,1
I03U_Answer,The woman is receiving a package from the delivery man.,1,1
I03U_Answer,A woman accepts a delivery.,0,0
I03U_Answer,The delievery man hands the receptionist a package.,0,0
I03U_Answer,The delivery man is giving the lady a package.,1,1
I03U_Answer,The lady is accepting a package from the delivery man.,1,1
I03U_Answer,The secretary is receiving a package from the delivery man.,1,1
I03U_Answer,The delivery man is delivering a package to the secretary. ,1,1
I03U_Answer,The girl is receiving a package.,1,1
I03U_Answer,The man is delivering a package.,1,1
I03U_Answer,receiving a gift,0,0
I03U_Answer,happy about this,0,0
I03U_Answer,A delivery man is handing a receptionist a package.,1,1
I03U_Answer,The woman is accepting a package from a delivery man.,1,1
I03U_Answer,A Courier is making a delivery.,1,1
I03U_Answer,A woman is accepting a delivery.,1,1
I03U_Answer,The receptionist is accepting a package from the delivery man.,1,1
I03U_Answer,The delivery man is giving the receptionist a package.,1,1
I03U_Answer,A delivery man is giving an office worker a package.,1,1
I03U_Answer,A woman is accepting a package from a delivery man.,1,1
I03U_Answer,delivering mail package,0,0
I03U_Answer,to  a woman,0,0
I03U_Answer,the woman gets the package from the deliveryman,0,0
I03U_Answer,The delivery man gives the package to the woman.,0,0
I03U_Answer,A woman is receiving a package from a delivery man.,1,1
I03U_Answer,A man is delivering a package to a woman.,1,1
I03U_Answer,Man giving a woman a package ,1,1
I03U_Answer,A woman receives a package ,0,0
I03U_Answer,A man is delivering a package to a woman at her desk,1,1
I03U_Answer,A woman is flirtatiously receiving a package at her job.,1,1
I03U_Answer,There is a delivery being made at an office ,1,1
I03U_Answer,A man is handing a package to the secretary. ,1,1
I03U_Answer,A delivery is being made.,1,1
I03U_Answer,A man is handing a woman a box.,1,1
I03U_Answer,A delivery man is handing a package to an office worker.,1,1
I03U_Answer,A woman with an abnormally small waist is receiving a package from a delivery man.,1,1
I03U_Answer,A package is being delivered to a receptionist.,1,1
I03U_Answer,A receptionist is receiving a delivery package.,1,1
I03U_Answer,The man gives a package to the woman,0,0
I03U_Answer,The office has received a delivery,0,0
I03U_Answer,Man is delivering package,1,1
I03U_Answer,Lady is accepting package delivery,1,1
I03U_Answer,A woman receives a package.,0,0
I03U_Answer,A package is delivered.,0,0
I03U_Answer,A delivery man is giving a woman a box.,1,1
I03U_Answer,A woman is receiving a box from a delivery man.,1,1
I03U_Answer,The woman is receiving a package from the delivery man.,1,1
I03U_Answer,Someone sent a box to the office.,0,0
I03U_Answer,A messenger is delivering a package to a receptionist at an office.,1,1
I03U_Answer,"A receptionist, behind a desk in an office, is receiving a package delivered by a messenger.",1,1
I03U_Answer,This guy gaveling a gifted to a woman ,0,0
I03U_Answer,This guy given to a woman ,0,0
I03U_Answer,The lady is receiving a package ,1,1
I03U_Answer,The delivery guy is giving the lady a package ,1,1
I03U_Answer,A girl is receiving a package. ,1,1
I03U_Answer,A boy is delivering a package. ,1,1
I03U_Answer,The Secretary is receiving a package while seated at a desk from a delivery man.,1,1
I03U_Answer,The deliveryman is handing a package to a woman behind a desk.,1,1
I03U_Answer,THE DELIVERY GUY DROPS OFF A PACKAGE.,0,0
I03U_Answer,THE LADY RECEIVES A PACKAGE.,0,0
I03U_Answer,The postman is giving the mail to an employee,1,1
I03U_Answer,An employee is getting the mail from the postman,1,1
I03U_Answer,The man is handing the woman a package,1,1
I03U_Answer,The woman is receiving a gift from the man ,1,1
I03U_Answer,A parcel is being delivered to a receptionist.,1,1
I03U_Answer,A delivery person is delivering a parcel.,1,1
I03U_Answer,A delivery guy is dropping off a package.,1,1
I03U_Answer,The girl is accepting a delivery.,1,1
I03U_Answer,She is taking the package.,1,1
I03U_Answer,The delivery man hands her the package.,0,0
I03U_Answer,THE SECRETARY RECEIVED A PACKAGE.,1,1
I03U_Answer,A PACKAGE WAS DELIVERED TO THE OFFICE.,1,1
I03U_Answer,The secretary is receiving a package delivery.,1,1
I03U_Answer,The delivery service drops off a package to its destination.,0,0
I03U_Answer,Courier man handing over the package to a woman,1,1
I03U_Answer,Woman receiving the package from a delivery guy.,1,1
I03U_Answer,The receptionist accepts the delivery.,0,0
I03U_Answer,The delivery person hands the box to the woman.,0,0
I03U_Answer,giving present,0,0
I03U_Answer,giving nice present,0,0
I03U_Answer,A receptionist is accepting a package from a delivery man.,1,1
I03U_Answer,A delivery man is picking up a package to be mailed.,1,1
I03U_Answer,The man is handing the woman a package.,1,1
I03U_Answer,The woman is receiving a package.,1,1
I03U_Answer,delivery,0,0
I03U_Answer,package,0,0
I03U_Answer,WOMAN IS RECIVING A PACKAGE.,1,1
I03U_Answer,MAN IS HANDING OVER A PACKAGE TO THE WOMAN. ,1,1
I03U_Answer,A delivery man is handing a package to a receptionist,1,1
I03U_Answer,A delivery man is giving a package to a woman at a desk,1,1
I03U_Answer,A man is giving a package. ,1,1
I03U_Answer,A women is receiving a package. ,1,1
I03U_Answer,A small package delivery associate is delivering a package.,1,1
I03U_Answer,This lady is recieving a package.,1,1
I03U_Answer,The delivery man is delivering a package to the secretary.,1,1
I03U_Answer,The receptionist is receiving a package from the delivery man. ,1,1
I03U_Answer,The office worker gave the courier a package to deliver. ,0,0
I03U_Answer,The courier is delivering a package to the office  worker.,1,1
I03U_Answer, A woman is receiving a box from a man.,1,1
I03U_Answer,The delivering man is handing a box to a lady,1,1
I03U_Answer,Receptionist receiving a package.,1,1
I03U_Answer,A woman receiving a package.,0,0
I03U_Answer,A man is handing a package to a woman. ,1,1
I03U_Answer,A woman is getting a package from a man. ,1,1
I03U_Answer,A delivery man is delivering a package to a receptionist.,1,1
I03U_Answer,A delivery is being made.,1,1
I03U_Answer,A woman is getting a package. ,1,1
I03U_Answer,A man is delivering a package. ,1,1
I03U_Answer,a courier service is delivering a package to an office employee,1,1
I03U_Answer,a woman is receiving a package.,1,1
I03U_Answer,delivery man is picking up a delivery from woman,1,1
I03U_Answer,woman is receiving a package from delivery man,1,1
I03U_Answer,The secretary receiving a package from the mailman,1,1
I03U_Answer,The Mailroom man is bringing a package to the secretary,1,1
I03U_Answer,A delivery man gives a woman a package. ,0,0
I03U_Answer,A woman at a desk has just given a man a package. ,0,0
I03U_Answer,A man is giving a package to a secretary,1,1
I03U_Answer,The secretary is receiving a package from a man,1,1
I03U_Answer,The man is delivering a package to the woman behind the desk.,1,1
I03U_Answer,The man standing is giving the woman at the desk a gift. ,1,1
I03U_Answer,Talk front table,0,0
I03U_Answer,Talk nurse,0,0
I03U_Answer,A delivery from a man from a delivery service. ,0,0
I03U_Answer,A package is being delivered from 'FedEx' to the secretary. ,1,1
I03U_Answer,The woman is getting package,1,1
I03U_Answer,The postman is giving the packet to the girl. ,1,1
I03U_Answer,The man is passing a package to a woman.,1,1
I03U_Answer,Woman is collecting a mail from the delivery boy.,1,1
I03U_Answer,The postal man is giving the woman a package. ,1,1
I03U_Answer,The mailman is giving a mailbox. ,1,1
I03U_Answer,The deliver man is handing a package to the woman.,1,1
I03U_Answer,The delivery man is falling love with the girl while delivering.,1,1
I03U_Answer,he is delivering a package for the woman,1,1
I03U_Answer,The man is passing the package to the woman,1,1
I03U_Answer,A mail carrier is delivering a box to a woman. ,1,1
I03U_Answer,The boy gives the girl a gift for marry proposal.,0,0
I03U_Answer,The delivery man is sending the woman her belonging.,1,1
I03U_Answer,The girl  was received the grift ,0,0
I03U_Answer,The man is sending a gift to a girl.,1,1
I03U_Answer,The man is giving the woman the package. ,1,1
I03U_Answer,A postman is handing the post box to a woman.,1,1
I03U_Answer,The man is giving a package to the lady. ,1,1
I03U_Answer,The female clerk is getting a box from a express worker,1,1
I03U_Answer,The postman is handing a package to the young woman who sits behind the reception desk.,1,1
I03U_Answer,The woman is receiving the package from the boy.,1,1
I03U_Answer,The post man is giving a package to a woman.,1,1
I03U_Answer,A man is giving a package to a woman.,1,1
I03U_Answer,The man is giving present to the woman.,1,1
I03U_Answer,A woman is accepting a gift from a man.,1,1
I03U_Answer,a woman is claiming her package ,1,1
I03U_Answer,The poster is giving a box to the woman.,1,1
I03U_Answer,The boy is returning a book to the center desk. ,1,1
I03U_Answer,The man is giving a package to the woman.,1,1
I03U_Answer,the post man is delivering the box to the woman,1,1
I03U_Answer,The postman is delivering the delivery to the woman,1,1
I03U_Answer,The man is delivering a package to a woman.,1,1
I03U_Answer,The mailman is giving the mail to the woman. ,1,1
I03U_Answer,The girl is receiving a thing from that man. ,1,1
I03U_Answer,A man with a cap is giving a box to a lady.,1,1
I03U_Answer,The mailman is handing a package to a woman,1,1
I03U_Answer,The man is giving a package to a woman.,1,1
I03U_Answer,A currier is delivering a package to a office girl ,1,1
I03U_Answer,The man is delivering package. ,1,1
I03U_Answer,A woman just received a mail box from a man.,0,0
I03U_Answer,The mail carrier is handing a package to the lady. ,1,1
I03U_Answer,A man is handing a mail box to a woman. ,1,1
I03U_Answer,a boy is delivering a box to the woman,1,1
I03U_Answer,The man is giving a package to a woman.,1,1
I03U_Answer,The deliver gives a box to a woman.,0,0
I03U_Answer,The man is sending the package to the woman.,1,1
I03U_Answer,The post-man is delivering a package to the woman in the front office,1,1
I03U_Answer,A postman is giving a package to a woman.,1,1
I03U_Answer,The courier is giving the package to the woman.,1,1
I03U_Answer,A lady receiving a package from a staff.,1,1
I03U_Answer,The man give the girl a baggage. ,0,0
I03U_Answer,The man is delivering a package to the woman.,1,1
I03U_Answer,A man is passing a package to a woman,1,1
I03U_Answer,A postman is sending a package to a woman.,1,1
I03U_Answer,The man is handing a box to the woman.,1,1
I03U_Answer,The lady is revive package,0,0
I03U_Answer,the girl just got a package from the mailman,0,0
I03U_Answer,The receptionist is receiving a mail box from the delivering man.,1,1
I03U_Answer,The man give the woman package. ,0,0
I03U_Answer,The man is giving a box to the woman.,1,1
I03U_Answer,a man is delivering ,1,1
I03U_Answer,The man gives the bag to the girl. ,0,0
I03U_Answer,A mailman is giving a woman package.,1,1
I03U_Answer,The poster is handing a package to a women who siting behind the desk. ,1,1
I03U_Answer,the clerk is receiving a package,1,1
I03U_Answer,A boy is giving his teacher a gift.,1,1
I03U_Answer,the transporter is pass the package to the woman. ,1,1
I03U_Answer,The postman is delivering a package to a young office lady.,1,1
I03U_Answer,The woman is receiving a package from staff.,1,1
I03U_Answer,A man is giving a package to a woman.,1,1
I03U_Answer,The package is being delivered to the receptionist.,1,1
I03U_Answer,The receptionist is receiving the package.,1,1
I03U_Answer,He is delivering a package to the office.,1,1
I03U_Answer,He is giving the box to the office worker.,1,1
I03U_Answer,She is getting a package.,1,1
I03U_Answer,He is giving her a package.,1,1
I03U_Answer,The woman is getting a package.,1,1
I03U_Answer,The man delivers a parcel.,0,0
I03U_Answer,The man in the hat is giving the lady a package.,1,1
I03U_Answer,The lady sitting at the desk is accepting the package from the man.,1,1
I03U_Answer,The woman is receiving a package.,1,1
I03U_Answer,The woman is getting a delivery from the post office.,1,1
I03U_Answer,The man is delivering a package to the woman at her office.,1,1
I03U_Answer,The man could be picking up a package from the woman at her office.,1,1
I03U_Answer,The man is giving the woman a package.,1,1
I03U_Answer,The man is delivering a package to the woman.,1,1
I03U_Answer,The man is delivering a package. ,1,1
I03U_Answer,The woman is receiving a package. ,1,1
I03U_Core,The lady is receiving a package,1,1
I03U_Core,The man is handing the lady a package,1,1
I03U_Core,A delivery person is accepting a package,1,1
I03U_Core,A woman is accepting a package from a delivery man,1,1
I03U_Core,The man is delivering a package.,1,1
I03U_Core,The woman is receiving a package.,1,1
I03U_Core,a guy is handing a box to a girl ,1,1
I03U_Core,a girl is holding a box ,0,0
I03U_Core,The receptionist is receiving a package.,1,1
I03U_Core,The delivery man is handing package to the receptionist.,1,1
I03U_Core,The boy gives the package to the girl.,1,1
I03U_Core,The girl receives the package from the guy.,1,1
I03U_Core,"The finance is gifting a box to his wife-to-be on their anniversary, for it is a token of his passion. ",0,0
I03U_Core,The woman is the recipient of ta parcel conveyed by the mailman.,1,1
I03U_Core,The woman receives a package.,1,1
I03U_Core,The delivery man has arrived.,0,0
I03U_Core,The woman is receiving a package.,1,1
I03U_Core,The man is delivering a package.,1,1
I03U_Core,A woman received a package from the delivery boy.,1,1
I03U_Core,The woman is sending a package with delivery pickup services.,1,1
I03U_Core,A man is delivering a package.,1,1
I03U_Core,A woman is receiving a delivery.,1,1
I03U_Core,The receptionist is receiving a package. ,1,1
I03U_Core,The delivery man gives a package to the receptionist. ,1,1
I03U_Core,The man is delivering a parcel to the woman.,1,1
I03U_Core,The man is looking over the head of the woman while delivering the package.,1,1
I03U_Core,A woman receives a package.,1,1
I03U_Core,A man delivers a package.,1,1
I03U_Core,A delivery man is handing a package to a lady.,1,1
I03U_Core,A seated lady is handing a package to a delivery man who just arrived.,1,1
I03U_Core,A package is being exchanged between two people.,1,1
I03U_Core,Two people are exchanging a package.,1,1
I03U_Core,The delivery man is delivering a package. ,1,1
I03U_Core,The secretary is accepting a package. ,1,1
I03U_Core,The man gives the woman a box.,1,1
I03U_Core,The woman receives a box from the man.,1,1
I03U_Core,The woman at the desk is receiving a package. ,1,1
I03U_Core,The delivery man is giving the woman a package.,1,1
I03U_Core,The man is delivering the package to the woman.,1,1
I03U_Core,The woman is receiving a package from the delivery man.,1,1
I03U_Core,A woman accepts a delivery.,1,1
I03U_Core,The delievery man hands the receptionist a package.,1,1
I03U_Core,The delivery man is giving the lady a package.,1,1
I03U_Core,The lady is accepting a package from the delivery man.,1,1
I03U_Core,The secretary is receiving a package from the delivery man.,1,1
I03U_Core,The delivery man is delivering a package to the secretary. ,1,1
I03U_Core,The girl is receiving a package.,1,1
I03U_Core,The man is delivering a package.,1,1
I03U_Core,receiving a gift,0,0
I03U_Core,happy about this,0,0
I03U_Core,A delivery man is handing a receptionist a package.,1,1
I03U_Core,The woman is accepting a package from a delivery man.,1,1
I03U_Core,A Courier is making a delivery.,1,1
I03U_Core,A woman is accepting a delivery.,1,1
I03U_Core,The receptionist is accepting a package from the delivery man.,1,1
I03U_Core,The delivery man is giving the receptionist a package.,1,1
I03U_Core,A delivery man is giving an office worker a package.,1,1
I03U_Core,A woman is accepting a package from a delivery man.,1,1
I03U_Core,delivering mail package,0,0
I03U_Core,to  a woman,0,0
I03U_Core,the woman gets the package from the deliveryman,1,1
