ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx,ldh tfidf cosine,xdh tfidf cosine,xdx tfidf cosine
I01T-gNSC-p152-r1,The boy appears to be dancing,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	6	xsubj	_	_
3	appear	_	VBZ	VBZ	_	0	root	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	aux	_	_
6	dancing	_	VBG	VBG	_	3	xcomp	_	_
7	.	_	.	.	_	3	punct	_	_","['det$@%the$@%boy', 'xsubj$@%boy$@%dancing', 'root$@%appear$@%VROOT', 'aux$@%to$@%dancing', 'aux$@%be$@%dancing', 'xcomp$@%dancing$@%appear', 'punct$@%.$@%appear']","['x$@%the$@%boy', 'x$@%boy$@%dancing', 'x$@%appear$@%VROOT', 'x$@%to$@%dancing', 'x$@%be$@%dancing', 'x$@%dancing$@%appear', 'x$@%.$@%appear']","['x$@%the$@%x', 'x$@%boy$@%x', 'x$@%appear$@%x', 'x$@%to$@%x', 'x$@%be$@%x', 'x$@%dancing$@%x', 'x$@%.$@%x']",0.041756782440177331,0.043641001226969234,0.0045244010751898101
I01T-gNSC-p152-r2,The boy appears to be moving his body in time to music,1,1,1,1,1,"1	the	_	DT	DT	_	2	det	_	_
2	boy	_	NN	NN	_	6	xsubj	_	_
3	appear	_	VBZ	VBZ	_	0	root	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	aux	_	_
6	move	_	VBG	VBG	_	3	xcomp	_	_
7	he	_	PRP$	PRP$	_	8	poss	_	_
8	body	_	NN	NN	_	6	dobj	_	_
9	in	_	IN	IN	_	0	erased	_	_
10	time	_	NN	NN	_	6	prep_in	_	_
11	to	_	TO	TO	_	0	erased	_	_
12	music	_	NN	NN	_	6	prep_to	_	_
