Source,Response,A1,A2
I28T_Answer,The woman is listening to the man who is giving directions,0,1
I28T_Answer,The woman with the map is getting directions from a man.,0,1
I28T_Answer,Man is giving verbal directions,0,1
I28T_Answer,A man tries to tell the place that lady wants to get.,0,1
I29T_Answer,The woman loves her dog.,0,1
I29T_Answer,The woman loves her dog.,0,1
I29T_Answer,The woman is hanging a dog,0,1
I29T_Answer,The woman loves her dog,0,1
I30T_Answer,fittness,0,1
I30T_Answer,The woman who in pink is running.,0,1
I28T_Answer,hugging,1,0
I28U_Answer,The hiking leader is very unhappy with what he is seeing.,1,0
I29T_Answer,holding,1,0
I29T_Answer,The lady is hugging the fluffy dog.,1,0
I29T_Answer,She is happy that she has a dog to hug.,1,0
I29U_Answer,The girl is very happy with her doggie.,1,0
I29U_Answer,Rat going under cover as purse dog,1,0
I29U_Answer,The dog is looking cute as fuck.,1,0
I30T_Answer,The lady is running.,1,0
I30U_Answer,Jogging is healthy for the body.    ,1,0
I30U_Answer,Running is this woman's chosen activity.,1,0
I30U_Answer,Along with the development of strength a major benefit  of jogging or running  is cardio development which adds to  awinning soccer season.,1,0
I30U_Answer,the girl has put on a jogging shoes for running a race,1,0
