ResponseID,Response,Core,Answer,Gramm,Interp,Verif,parse,ldh,xdh,xdx,AnnoScore
I28U-gNSF-p142-r2,A woman is asking a man for directions.,1,1,1,1,1,"1	a	_	DT	DT	_	2	det	_	_
2	woman	_	NN	NN	_	4	nsubj	_	_
3	be	_	VBZ	VBZ	_	4	aux	_	_
4	ask	_	VBG	VBG	_	0	root	_	_
5	a	_	DT	DT	_	6	det	_	_
6	man	_	NN	NN	_	4	dobj	_	_
7	for	_	IN	IN	_	0	erased	_	_
8	direction	_	NNS	NNS	_	6	prep_for	_	_
9	.	_	.	.	_	4	punct	_	_","['det$@%a$@%woman', 'nsubj$@%woman$@%ask', 'aux$@%be$@%ask', 'root$@%ask$@%VROOT', 'det$@%a$@%man', 'dobj$@%man$@%ask', 'erased$@%for$@%WORDERASED', 'prep_for$@%direction$@%man', 'punct$@%.$@%ask']","['x$@%a$@%woman', 'x$@%woman$@%ask', 'x$@%be$@%ask', 'x$@%ask$@%VROOT', 'x$@%a$@%man', 'x$@%man$@%ask', 'x$@%for$@%WORDERASED', 'x$@%direction$@%man', 'x$@%.$@%ask']","['x$@%a$@%x', 'x$@%woman$@%x', 'x$@%be$@%x', 'x$@%ask$@%x', 'x$@%a$@%x', 'x$@%man$@%x', 'x$@%for$@%x', 'x$@%direction$@%x', 'x$@%.$@%x']",1.0
I28U-gNSF-p145-r2,A man provides directions. ,1,0,1,0,1,"1	a	_	DT	DT	_	2	det	_	_
2	man	_	NN	NN	_	3	nsubj	_	_
3	provide	_	VBZ	VBZ	_	0	root	_	_
4	direction	_	NNS	NNS	_	3	dobj	_	_
5	.	_	.	.	_	3	punct	_	_","['det$@%a$@%man', 'nsubj$@%man$@%provide', 'root$@%provide$@%VROOT', 'dobj$@%direction$@%provide', 'punct$@%.$@%provide']","['x$@%a$@%man', 'x$@%man$@%provide', 'x$@%provide$@%VROOT', 'x$@%direction$@%provide', 'x$@%.$@%provide']","['x$@%a$@%x', 'x$@%man$@%x', 'x$@%provide$@%x', 'x$@%direction$@%x', 'x$@%.$@%x']",0.683
I28U-gNSF-p146-r2,Directions are being given to the woman.,1,1,1,0,1,"1	direction	_	NNS	NNS	_	4	nsubjpass	_	_
2	be	_	VBP	VBP	_	4	aux	_	_
