I02T,I02T_Core,I02T_Answer,I02T_Interp,I02T_Verif,I01T_Gramm,minor feats,Holistic
he is eating the pizza,1,1,1,1,1,1,3
the boy is eating a pizza,1,1,1,1,1,1,3
the boy is eating pizza,1,1,1,1,1,1,3
he is eating a pizza,1,1,1,1,1,1,3
the boy is eating a piece of pizza,1,1,1,1,1,1,3
he is eating,1,1,1,1,1,1,3
the boy is eating the pizza,1,1,1,1,1,1,3
he is eating pizza,1,1,1,1,1,1,3
the boy is eating a pizza slice,1,1,1,1,1,1,3
he is eating a piece of pizza,1,1,1,1,1,1,3
the boy is eating a slice of pizza,1,1,1,1,1,1,3
the boy is eating a piece of the pizza,1,1,1,1,1,1,3
the boy is eating the piece of pizza,1,1,1,1,1,1,3
eating pizza,1,1,1,1,1,1,3
the boy is eating a delicious pizza,1,1,1,1,1,1,3
the boy is taking a bite from a slice of pizza,1,1,1,1,1,1,3
the boy is gleefully enjoying a slice of pizza,1,1,1,1,1,1,3
the boy is biting a piece of pizza,1,1,1,1,1,1,3
he is getting ready to take a bite of pizza,1,1,1,1,1,1,3
the boy is having a bite of pizza,1,1,1,1,1,1,3
he's eating pizza,1,1,1,1,1,1,3
the boy appears to be getting ready to bite in to a slice of pizza,1,1,1,1,1,1,3
the boy appears to be savoring his first bite of a slice of pizza,1,1,1,1,1,1,3
the boy is standing eating pizza,1,1,1,1,1,1,3
enjoying pizza,1,1,1,1,1,1,3
he's looking forward to eating the pizza,1,1,1,1,1,1,3
the boy is having a slice of pizza,1,1,1,1,1,1,3
he is consuming a slice of pizza,1,1,1,1,1,1,3
the boy is taking a bite out of a slice of pizza,1,1,1,1,1,1,3
he is taking a bite of pizza,1,1,1,1,1,1,3
the boy is enjoying pizza,1,1,1,1,1,1,3
he is enjoying some pizza,1,1,1,1,1,1,3
getting ready to take a bite of pizza,1,1,1,1,1,1,3
the boy is looking forward to enjoying pizza,1,1,1,1,1,1,3
tasting pizza,1,1,1,1,1,1,3
he is eating a slice of pizza,1,1,1,1,1,1,3
he is enjoying a piece of pizza,1,1,1,1,1,1,3
the boy is eating a slice pizza,1,1,1,1,1,1,3
the boy is getting ready to bite into the pizza,1,1,1,1,1,1,3
a boy is trying to eat a pizza,1,0,1,1,1,0,2
this boy is preparing to eat the delicious pizza,1,0,1,1,1,0,2
a boy is eating pizza,1,0,1,1,1,0,2
the boy is about to eat a pizza,1,0,1,1,1,0,2
the boy enjoys his pizza,1,0,1,1,1,0,2
the boy is going to eat a slice of pizza,1,5,1,1,1,0,2
the boy is eating pepperoni pizza,1,1,1,5,1,0,2
he's scarfing down a pizza,1,1,1,5,1,0,2
the boy had pizza for lunch,1,0,1,0,1,0,2
the boy enjoys pizza,1,0,1,1,1,0,2
eating pizza makes the boy happy,1,0,1,1,1,0,2
"eating pizza, yum",1,1,5,1,1,0,2
the kid is eating the pizza,5,0,1,1,1,0,1
the boy is eating,0,1,1,1,1,1,1
a short boy is going to eat a pepperoni pizza,5,0,1,5,1,0,1
the child is about to eat a slice of pizza,5,0,1,1,1,0,1
the kid is eating pizza,5,0,1,1,1,0,1
a fat kid is eating a delicious pizza,5,0,1,0,1,0,1
a little boy is eating a piece of pizza,5,0,1,1,1,0,1
a little boy is eating a pizza,5,0,1,1,1,0,1
the child is eating pizza,5,0,1,1,1,0,1
this boy is eating a pizza,5,0,1,1,1,0,1
a baby is eating pizza,5,0,1,0,1,0,1
the little kid is enjoying the pizza,5,0,1,1,1,0,1
the little boy is eating pizza,5,0,1,1,1,0,1
the boy has his mouth open to consume pizza,5,0,1,1,1,0,1
the boy is excited to eat pizza,5,0,1,1,1,0,1
the boy is having lunch,0,1,1,1,1,1,1
the boy is viewing the food he is about to ingest,0,1,1,1,1,1,1
he is about to chow down on some pizza,5,0,1,1,1,0,1
he is about to take a bite of pizza,5,0,1,1,1,0,1
the boy is about to eat a slice of pizza,5,0,1,1,1,0,1
the boy is enjoying food,0,1,1,1,1,1,1
how is the pizza staying perfectly horizontal when the boy is holding it so close to the tip?,0,0,0,0,1,0,1
he's having lunch,0,1,1,5,1,0,1
while standing up,0,0,0,0,0,0,1
he is looking at the pizza,0,1,1,1,1,1,1
the boy is eating lunch,0,1,1,5,1,0,1
the boy is holding a slice of pizza,0,1,1,1,1,1,1
the child is enjoying a snack,0,0,1,5,1,0,1
eat sausage,0,0,1,0,0,0,1
hungry,0,0,5,0,0,0,1
his mouth is watering,0,0,1,0,1,0,1
the boy is ready to take a bite out of a piece of pizza,5,0,1,1,1,0,1
enjoying it,0,1,5,0,1,0,1
the boy is anxiously awaiting for the pizza to enter his mouth,5,1,1,1,1,1,1
he's stuffing his face,0,1,1,1,1,1,1
this boy is eating pizza,5,0,1,1,1,0,1
boy is enjoying a pizza,5,0,1,1,0,0,1
eating lunch,0,1,1,5,1,0,1
pizza is this boys favorite food,0,0,1,0,0,0,1
this young man is enjoying his cheese pizza,5,0,1,5,1,0,1
he's pigging out,0,1,1,0,1,0,1
about to eat pizza,5,0,1,1,0,0,1
the child is about to eat pizza,5,0,1,1,1,0,1
the kid is going to eat a slice of pizza,5,0,1,1,1,0,1
eating,0,1,1,1,1,1,1
about to go deep on a pizza slice,5,0,5,1,0,0,1
consuming mad calories,0,1,5,0,1,0,1
the b,0,0,0,0,0,0,1
excited about his slice of pizza,0,0,1,1,0,0,1
he is eating food,0,1,1,1,1,1,1
the boy is about to enjoy some pizza,5,0,1,1,1,0,1
the boy is about to eat a piece of pizza,5,0,1,1,1,0,1
the boy likes pizza,0,0,1,1,1,0,1
the boy is hungry,0,0,1,1,1,0,1
eatting,0,1,1,1,0,0,1
see my last statement,0,0,0,0,0,0,1
ready to eat pizza,5,0,5,1,0,0,1
this boy really likes pizza,0,0,1,1,1,0,1
do you think he like's pizza?,0,0,0,0,0,0,1
he may get fat eating pizza,5,0,5,0,1,0,1
this boy loves pizza,0,0,1,1,1,0,1
this boy is eating a piece of pizza,5,0,1,1,1,0,1
the kid is eating a slice of meatball pizza,5,0,1,5,1,0,1
the boy is about to take a bite from a slice of plain pizza,5,1,1,5,1,0,1
the not is happy to eat pizza,0,0,0,0,0,0,1
the boy is ready to gobble the pizza,5,0,1,1,1,0,1
hoj,0,0,0,0,0,0,1
gub,0,0,0,0,0,0,1
he is about to eat a slice of pizza,5,0,1,1,1,0,1
the boy looks happy to have that slice of pie,0,0,5,1,1,0,1
the pizza looks good,0,0,1,0,1,0,1
