source,spearman,p_val
I01T-gNSC-r1-xdh-In-N50-VS-N70-W,0.7656124531508065,1.169550585622863e-14
I01T-gNSC-r2-xdh-In-N50-VS-N70-W,0.7711355934861437,5.741781088356846e-15
I01U-gNSC-r1-xdh-In-N50-VS-N70-W,0.3331463892184578,0.004830873816076475
I01U-gNSC-r2-xdh-In-N50-VS-N70-W,0.5976702657541444,4.6928975671536646e-08
I02T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.0033319830563389545,0.9781602504497635
I02T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.006411194984265988,0.9579911723242387
I02U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.30233945146176394,0.010964039176265717
I02U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.34358696222419655,0.0035899567932762854
I03T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.21055639241549298,0.08018844376037264
I03T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.1705096138973915,0.15816875527156232
I03U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.41806678250511337,0.0003166938097608077
I03U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.4104054727626515,0.0004176205141971156
I04T-gNSC-r1-xdh-In-N50-VS-N70-W,0.00917888575977801,0.9398846311054586
I04T-gNSC-r2-xdh-In-N50-VS-N70-W,-0.01453008499499754,0.9049705216757775
I04U-gNSC-r1-xdh-In-N50-VS-N70-W,-0.01539844745530136,0.8993200018032499
I04U-gNSC-r2-xdh-In-N50-VS-N70-W,-0.017849031729660486,0.883401602289425
I05T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.6526259804562271,9.256895581152405e-10
I05T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.6914980994665746,3.417934937210853e-11
I05U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.2638898923510569,0.02728644931624581
I05U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.26556755959204326,0.026286444821404475
I06T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.421792699950309,0.00027616603305982885
I06T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.37357891826539297,0.001445101492296155
I06U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.1974552498300973,0.101326112049323
I06U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.15320400413359853,0.20543888417928302
I07T-gNSC-r1-xdh-In-N50-VS-N70-W,0.4862385930741971,1.976809806006456e-05
I07T-gNSC-r2-xdh-In-N50-VS-N70-W,0.5228295036848075,3.4322561024693345e-06
I07U-gNSC-r1-xdh-In-N50-VS-N70-W,0.40845752165580285,0.00044758529086985426
I07U-gNSC-r2-xdh-In-N50-VS-N70-W,0.40663736951637136,0.0004773437039011897
I08T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.2696475069831114,0.023982971410548316
I08T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.2530966897436925,0.034516804376005725
I08U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.3150680332842676,0.00789298483362128
I08U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.2700530258264284,0.023763672487761376
I09T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.753665250353659,5.109411693428676e-14
I09T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.7570213173371725,3.4057231758349976e-14
I09U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.5220417689800689,3.5718413437112756e-06
I09U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.526220408588245,2.8877416852659876e-06
I10T-gNSC-r1-xdh-In-N50-VS-N70-W,0.6402242572642436,2.404500648548424e-09
I10T-gNSC-r2-xdh-In-N50-VS-N70-W,0.6473971918034919,1.3917345973236597e-09
I10U-gNSC-r1-xdh-In-N50-VS-N70-W,0.20017050609810635,0.09662240166358657
I10U-gNSC-r2-xdh-In-N50-VS-N70-W,0.4963839068526597,1.2411642415497472e-05
I11T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.2819853430389369,0.018030565627155645
I11T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.21400450204238522,0.07525244581486831
I11U-gNSC-r1-xdh-Di-N50-VS-N70-W,-0.03188776176144639,0.7932790333048355
I11U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.0223462293152531,0.8543127643172589
I12T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.40691295177992515,0.00047272518145870517
I12T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.4063553311218175,0.00048211299226702325
I12U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.4222061472807105,0.0002719748645356112
I12U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.41176398807764597,0.0003978194171842553
I13T-gNSC-r1-xdh-In-N50-VS-N70-W,0.3734192524098931,0.0014524561600455029
I13T-gNSC-r2-xdh-In-N50-VS-N70-W,0.40383884032929424,0.0005266302137029104
I13U-gNSC-r1-xdh-In-N50-VS-N70-W,0.2906982714200932,0.0146330088575954
I13U-gNSC-r2-xdh-In-N50-VS-N70-W,0.1245849734657542,0.3041405567143408
I14T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.2800933696370706,0.018851605468443396
I14T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.3119616604587634,0.008563039625296578
I14U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.2464319102473057,0.0397338031350594
I14U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.27119530314265977,0.023155066582109914
I15T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.7385025124338263,2.9550393781193217e-13
I15T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.7511271876755213,6.914165393592364e-14
I15U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.686968120834166,5.153535515605767e-11
I15U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.6868155721333512,5.2246245648444025e-11
I16T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.28370691322454183,0.017310273936197808
I16T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.3166673158703823,0.007566268635267338
I16U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.4105941217042526,0.00041481809269766325
I16U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.4273361155731008,0.00022460031023008298
I17T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.4258450930682479,0.0002375226896515726
I17T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.55516821738769,6.106221359084761e-07
I17U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.48333989490452606,2.2519074664185756e-05
I17U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.41624990854837113,0.00033836875454431556
I18T-gNSC-r1-xdh-In-N50-VS-N70-W,0.8218556406696164,2.8189380397185765e-18
I18T-gNSC-r2-xdh-In-N50-VS-N70-W,0.8684090895073767,2.1236921082771534e-22
I18U-gNSC-r1-xdh-In-N50-VS-N70-W,0.8882916961964085,1.1353879083150765e-24
I18U-gNSC-r2-xdh-In-N50-VS-N70-W,0.8863074455765109,1.99774285991958e-24
I19T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.09037499166738402,0.4568514976229976
I19T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.0754565333434192,0.5347092075880978
I19U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.34265914008998993,0.003687425595703598
I19U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.32485340271409185,0.006072813565806914
I20T-gNSC-r1-xdh-In-N50-VS-N70-W,0.4390202666826394,0.0001435791829434652
I20T-gNSC-r2-xdh-In-N50-VS-N70-W,0.4364528967020392,0.00015863333652680941
I20U-gNSC-r1-xdh-In-N50-VS-N70-W,0.41627436619083125,0.00033806818686093814
I20U-gNSC-r2-xdh-In-N50-VS-N70-W,0.41632144273790755,0.0003374903355649235
I21T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.22922026786924216,0.05629282610473742
I21T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.2889669520536634,0.015260342688145639
I21U-gNSC-r1-xdh-Di-N50-VS-N70-W,-0.026327738353399785,0.8287188710359594
I21U-gNSC-r2-xdh-Di-N50-VS-N70-W,-0.16670245239220866,0.16780459377902457
I22T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.24779277392571267,0.038618482098459986
I22T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.09973349601598423,0.41138616850566134
I22U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.314318781178862,0.008050252846516063
I22U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.1668150327858259,0.16751360847898603
I23T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.08023306469167388,0.5090890330009386
I23T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.054564905489513205,0.6536933718841367
I23U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.012828812960576702,0.9160542569550969
I23U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.015462730396634783,0.8989019011873052
I24T-gNSC-r1-xdh-In-N50-VS-N70-W,0.658374497841553,5.858181991644835e-10
I24T-gNSC-r2-xdh-In-N50-VS-N70-W,0.6753263241303795,1.4323178436887264e-10
I24U-gNSC-r1-xdh-In-N50-VS-N70-W,-0.01228020099221646,0.9196319555088176
I24U-gNSC-r2-xdh-In-N50-VS-N70-W,0.04052355395173146,0.7390765294846837
I25T-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.07955410577703549,0.5126920700671087
I25T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.0593288027796283,0.6256399218973131
I25U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.22553151536723245,0.060487835376001324
I25U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.2567200635633396,0.031929277144264634
I26T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.5357297478521189,1.761110049584998e-06
I26T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.4777876342649304,2.8808315848406995e-05
I26U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.4917969931278268,1.5346685063256785e-05
I26U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.4515079917215298,8.739405000009748e-05
I27T-gNSC-r1-xdh-In-N50-VS-N70-W,0.44756383784296244,0.00010244343573162954
I27T-gNSC-r2-xdh-In-N50-VS-N70-W,0.45027045742365324,9.188046716502599e-05
I27U-gNSC-r1-xdh-In-N50-VS-N70-W,0.4442694541400421,0.00011680886986594835
I27U-gNSC-r2-xdh-In-N50-VS-N70-W,0.4808734617030653,2.5136014781327466e-05
I28T-gNSC-r1-xdh-Di-N50-VS-N70-W,0.3769908895084267,0.001295746009681733
I28T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.4044464997709591,0.0005155504503505959
