Source,Response,A1,A2,A1b,A2b
I01U_Verif,the boy is singing a song,0,1,0,1
I01U_Verif,a guy is singing,0,1,0,1
I01U_Verif,the music is stirring up the man's exhilaration to exercise to the rhythm,1,0,0,0
I01U_Verif,having a great time,0,1,1,1
I01U_Verif,music playing,0,1,1,1
I01U_Verif,happy boy,0,1,1,1
I01U_Verif,a riling beat is moving a man to dance,1,0,1,1
I01U_Verif,this guy is singing,0,1,0,1
I01U_Verif,dancing well,0,1,0,0
I01U_Verif,"a boy is enjoying loud music, dancing and enjoying life",1,0,1,1
I01U_Verif,singing,0,1,0,0
I01U_Verif,the boy is singing and dancing,0,1,0,1
I01U_Verif,the boy is dancing on music,0,1,1,1
I01U_Verif,the boy is dancing and singing,0,1,0,1
I01U_Verif,the boy is singing,0,1,0,1
I01U_Verif,the boy is singing a song and dancing,0,1,0,1
I01U_Verif,a boy is singing and dancing,0,1,0,1
I01U_Verif,the boy is singing and dancing by himself,0,1,0,1
I01U_Verif,the boy is singing and dancing at the same time,0,1,0,1
I01U_Verif,a boy listens to music and dancing,0,1,0,1
I01U_Verif,the boy who in blue is dancing,1,0,1,1
I01U_Verif,he is singing and dancing,0,1,0,1
I01U_Verif,a boy is dancing and singing,0,1,0,1
I01U_Verif,the boy is dancing and singing at the same time,0,1,0,1
I01U_Verif,the boring is dancing while listening to music,0,1,0,0
I01U_Verif,the boy is singing while dancing,0,1,0,1
